AS0     -Reserved AS-
AS6066  VERIZON-BUSINESS-MAE-AS6066 - Verizon Business Network Services Inc.
AS6067  ONYX Onyx Internet
AS6068  LGRND-AS-KR LG CNS
AS6069  IGC-AS - Institute for Global Communications
AS6070  FUTURIS - Futuris Networks Inc.
AS6071  UNISYS-AS-E - Unisys Corporation
AS6072  UNISYS-6072 For routing issues, email hostmaster@unisys.com
AS6073  ETI - KAPS, Inc
AS6074  LIUNET - Long Island University
AS6075  LM-CORP - Lockheed Martin Corporation
AS6076  ERINET - CoreComm Internet Services Inc
AS6077  BCBSNE - Blue Cross Blue Shield of Nebraska
AS6078  JERSEY - InterActive Network Services
AS6079  RCN-AS - RCN
AS6080  LINKNET-LA - Linknet Internet Services
AS6081  AISNET - American Information Systems, Inc.
AS6082  IPIFONY-AS - IPiFony Systems, Inc.
AS6083  POSIX-AFRICA
AS6084  Internet Corporativo, S.A. de C.V.
AS6085  SITA-IPNET SITA Network Operations Center
AS6086  INFOMAGIC - MagicNET, Inc
AS6087  IPRO-NET - Internet Profiles Corporation
AS6088  BOX - The Black Box
AS6089  MWEB-6089
AS6090  TIA-AS - Techmatics Informaton Alliance
AS6091  AMERION - Amerion
AS6092  HARFORDCC-AS - Harford Community College
AS6093  INFSYS-ASN - Infinite Systems
AS6094  GRAPEVINEINC - GrapeVine Interactive, Inc.
AS6095  NIBR-US-DMZ - Novartis Institutes for BioMedical Research
AS6096  SYSNET-1 - Sysnet Corp
AS6097  ASN-CKS-CU - CKS Group
AS6098  WEBSPINNERS - WebSpinners, Inc.
AS6099  BAE-NET-ASN - Alameda County Office of Education
AS6100  NAME - North American Media Engines
AS6101  TAC-NET - The Atlanta Connection
AS6102  CBSCORPORATE - CBS inc.
AS6103  MTW-ASN - The Manitowoc Company Inc
AS6104  STARGATE - Stargate Industries, Inc.
AS6105  NO - Origin Digital, Inc.
AS6106  UCR-EDU - University of California, Riverside
AS6107  GLOBENET - Mnematics, Incorporated
AS6108  POND - Cascade Communications Group, Inc.
AS6109  NDCORP-NET - National Data Corporation
AS6110  BOXTOP - BoxTop Entertainment
AS6111  FHIS - Florida Hospital
AS6112  AUBURN - Auburn University
AS6113  GRIDNET - GridNet International
AS6114  CAPITAL-HOSPICE-VA - Capital Hospice
AS6115  HTW - HarvardNet
AS6116  WB-DUPLEX - Warner Bros. Interactive Entertainment
AS6117  SJMERCURY - San Jose Mercury News
AS6118  MCCLATCHY-CORP - MCCLATCHY MANAGEMENT SERVICES, INC.
AS6119  WWWPASS - WWW Passport Inc
AS6120  INTERGLOBE - interGlobe Networks, Inc.
AS6121  Argentine Ministry of Justice
AS6122  ICN-AS - Iowa Communications Network
AS6123  WEBPROS-ASN-1 - Web Professionals
AS6124  MARIST - Marist College
AS6125  Associação Rede Nacional de Ensino e Pesquisa
AS6126  CA-INTL-AS - Computer Associates International
AS6127  IDSC
AS6128  CABLE-NET-1 - Cablevision Systems Corp.
AS6129  247REALMEDIA-NEWYORK - 24/7 Real Media, Inc.
AS6130  AIS-WEST - American Internet Services, LLC.
AS6131  HOSP-INFO-NET - Hospitality Information Networks, Inc.
AS6132  INGRESSNET - Ingress Enterprises, Inc w/ Ingress Communications, Inc.
AS6133  Red Nacional de Guatemala, MAYANet
AS6134  EXABYTE - Exabyte Corporation
AS6135  Terra Networks Mexico, S.A. de C.V.
AS6136  NWRAINET - NW RAIN.net, Inc
AS6137  SISNA - SISNA, Inc.
AS6138  CIOE - CIOE, Inc.
AS6139  SAUDI - Washington Coordinating Center
AS6140  TWO-P - Two P
AS6141  GRINNELL-MUTUAL-REINSURANCE-COMPANY - Grinnell Mutual Reinsurance Company
AS6142  SUN-JAVA - Sun Microsystems, Inc
AS6143  STARKBRO - Stark Brothers Fulfillment
AS6144  SOUND-ADVICE-LTD - Sound Advice Limited
AS6145  3TIER-SEA - 3TIER Inc, 3TIER
AS6146  ZUORA - Zuora, Inc
AS6147  Telefonica del Peru S.A.A.
AS6149  TENET-2
AS6150  NCIFCRF - National Cancer Institute/Frederick Cancer Research
AS6151  Q-AS - Allen, Bradley Ward
AS6152  PACIFICWEBWORKS - Pacific WebWorks, Inc.
AS6153  ASN-SPRN-NYSERNET - SPRINT, Business Serices Group
AS6154  SPRINTLINK-NYSERNET5 - SPRINT, Business Serices Group
AS6155  SPRINTLINK-NYSERNET6 - SPRINT, Business Serices Group
AS6156  SPRINTLINK-NYSERNET7 - SPRINT, Business Serices Group
AS6157  SPRINTLINK-HOSTING - SPRINT, Business Serices Group
AS6158  SPRINTLINK-NYSERNET9 - SPRINT, Business Serices Group
AS6159  TWAVE - Greer Educational Resources, Inc.
AS6160  SMARTS-1 - System Management ARTS, Inc.
AS6161  COMCAST-6161 - Comcast Cable Communications
AS6162  ISI-ISP - Integration Specialists, Inc.
AS6163  ERX-MOZCOM-NETWRK Mosaic Communications Inc.
AS6164  NET66UU - Egix, Inc.
AS6165  UPTILT-ASN - Uptilt, Inc.
AS6166  RADIOMAIL - Radiomail Corp
AS6167  CELLCO-PART - Cellco Partnership DBA Verizon Wireless
AS6168  EK-GROUP-AS Emirates Airline
AS6169  PENTELEDATA-3 - PenTeleData Inc.
AS6170  PENTELEDATA-3 - PenTeleData Inc.
AS6171  WORLDGATE - WorldGate
AS6172  NEN-AS - New Edge Networks
AS6173  SMARTLINK - SmartLink Communications Inc.
AS6174  SPRINTLINK8 - Sprint
AS6175  SPRINTLINK9 - Sprint
AS6176  SPRINTLINK10 - Sprint
AS6177  SPRINTLINK11 - Sprint
AS6178  INLINK - INLINK
AS6179  WESTWOOD - Westwood Studios
AS6180  NIS-CT
AS6181  FUSE-NET - Cincinnati Bell Telephone
AS6182  MICROSOFT-CORP-MSN-AS-4 - Microsoft Corporation
AS6183  MARKET-FACTS - Synovate, Inc.
AS6184  DATASTORM - Datastorm Technologies, Inc.
AS6185  APPLE-AUSTIN - Apple Inc.
AS6186  GARCIA-ASN - Garcia Consulting, Inc.
AS6187  SPRINT-ZA
AS6188  VPSDATACENTER - VPS Datacenter, LLC
AS6189  EPFL-AS - Enoch-Pratt Free Library
AS6190  VERTRUE - Vertrue Inc.
AS6191  CECLFROC - Network Design and Implementation
AS6192  UCDAVIS-CORE - University of California at Davis
AS6193  Corporacion La Prensa S.A.
AS6194  MSFT - Microsoft Corporation
AS6195  GSCO - The Goldman Sachs Group, Inc.
AS6196  INTERNET-SYSTEMS - Internet Systems, Inc.
AS6197  BATI-ATL - BellSouth Network Solutions, Inc
AS6198  BATI-MIA - BellSouth Network Solutions, Inc
AS6199  COOPERUNION - Cooper Union
AS6200  UIC-AS - University of Illinois at Chicago
AS6201  ATEXT - Architext
AS6202  NEXTRON - IMV/Internet
AS6203  ISDN-NET - The Nexus Group, Inc.
AS6204  PARK-5 - Internet Multicasting Service
AS6205  PARK-2 - Internet Multicasting Service
AS6206  PARK-3 - Internet Multicasting Service
AS6207  PARK-4 - Internet Multicasting Service
AS6208  PARK-1 - Internet Multicasting Service
AS6209  NFL2 - National Football League
AS6210  NFL1 - National Football League
AS6211  SPRNTDATANET - Sprint Communications Corp.
AS6212  IGC-DC-AS - Institute for Global Communications
AS6213  GETONTHENET - OnThe.Net, Inc.
AS6214  ANET-04 - Interactive Network Systems Inc.
AS6215  AS-ALTO-EXT1 - ALTO
AS6216  IV-AS - Intellectual Ventures Management, LLC
AS6217  ANS-AXISNET - Axis.Net Inc.
AS6218  MIBX - MIBX, Inc.
AS6219  NBIX3-AS - University of New Brunswick
AS6220  AS6220 - inContact Inc.
AS6221  USCYBERSITES - US Cybersites, Inc
AS6222  EMBARQ-CLTN - Embarq Corporation
AS6223  QWEST-ASNBLK-2 - Qwest Communications Company, LLC
AS6224  QWEST-ASNBLK-2 - Qwest Communications Company, LLC
AS6225  QWEST-ASNBLK-2 - Qwest Communications Company, LLC
AS6226  QWEST-ASNBLK-2 - Qwest Communications Company, LLC
AS6227  QWEST-ASNBLK-2 - Qwest Communications Company, LLC
AS6228  BSDI-ASN - BSDI (Berkeley Software Design, Inc)
AS6229  NETVOYAGE - Digital Design (NETVOYAGE-DOM)
AS6230  GANET - Global Access Network
AS6231  SCANA - SCANA Corporation
AS6232  WINS - Iowa Network Services (INS)
AS6233  NETRUS - Netrus
AS6234  ETAK-NET2 - Etak, Inc.
AS6235  SMG-NJ - SUMMIT MEDICAL GROUP
AS6236  BBCON - Business & Banking Concepts
AS6237  WEBBED - Webbed Communications
AS6238  DPSC-AS - Dept. of Public Safety & Corrections
AS6239  RF-NETWORKS - RF Networks
AS6240  Chilenet Ltda.
AS6241  DISTRIBUTEL-AS6241 - DISTRIBUTEL COMMUNICATIONS LTD.
AS6242  TELEMAIL - Sprint Communications Corp.
AS6243  INET-AMERICA - Internet America, Inc.
AS6244  SWIEC - Swieca Holdings, LLC
AS6245  NETWORK-SOLUTIONS - InterNIC Registration Services
AS6246  AVALONTEL - AvalonTel
AS6247  SPANIT - SPAN INFORMATION TECHNOLOGY, Inc.
AS6248  WEBMEDIABRANDS - WebMediaBrands Inc.
AS6249  RCN-AS3 - RCN
AS6250  NEONOVA-NET - Neonova Network Services
AS6251  PSNET - UCLA Physical Sciences Division
AS6252  EVOLUTION - Evolution On-Line Systems, Inc.
AS6253  PRUASN - The Prudential Insurance Company of America
AS6254  EGGINC - EG&G, Inc.
AS6255  CHANNEL1 - Channel 1 Communications
AS6256  ALLTEL - Cellco Partnership DBA Verizon Wireless
AS6257  NOVALINK-GW - Novalink USA
AS6258  INOC-ASN - Telecon Communications Corp.
AS6259  COGENT-6259 - Cogent Communications
AS6260  CROSSLINK-NUNET-AS - NuNet Inc.
AS6261  VISINET - NetTelcos
AS6262  CSIRO Commonwealth Scientific and Industrial
AS6263  NDIN - State of North Dakota
AS6264  AS-ALTO-EXT2 - ALTO
AS6265  SIVENSA - Sivensa Corp.
AS6266  ICONN-AS - Iconn LLC
AS6267  MEGAPATH3-US - MegaPath Networks Inc.
AS6268  EXPRESS - Mistik Systems
AS6269  ATT-INTERNET2 - AT&T Services, Inc.
AS6270  COGENT-6270 - NetRail, Inc.
AS6271  COGENT-6271 - NetRail, Inc.
AS6272  6272 - NetRail, Inc.
AS6273  COGENT-6273 - NetRail, Inc.
AS6274  COGENT-6274 - NetRail, Inc.
AS6275  COGENT-6275 - NetRail, Inc.
AS6276  COGENT-6276 - NetRail, Inc.
AS6277  COGENT-6277 - NetRail, Inc.
AS6278  NOC-BB - Moran Communications Group
AS6279  BTN-TWO - Beyond The Network America, Inc.
AS6280  SYNAPSE - Babillard Synapse Inc.
AS6281  CMSA - CMS Automation, Inc.
AS6282  UNETY - UNETY Systems, Inc.
AS6283  LYCEUM - Lyceum Internet
AS6284  METRONET - MetroNet Internet Services
AS6285  EN-AS - CoreComm Internet Services Inc
AS6286  HEALTHWAYS - American Healthways Services, Inc.
AS6287  SPACESTAR - Spacestar Communications
AS6288  PERTECH-CA-01 - PerTech Inc.
AS6289  AHM-CORP - American Honda Motor Corporation
AS6290  ALASCOM - AT&T Alascom, Inc.
AS6291  MICROSOFT-CORP-MSN-AS - Microsoft Corporation
AS6292  LTT-EAST - Lightstream Transmission and Telecom Inc
AS6293  ESKIMO - Eskimo North, Inc.
AS6294  CTEKUSA - Compu-Tek International
AS6295  WHIDBEY1 - Whidbey Internet Services
AS6296  MIND - InfoStructure
AS6297  NETBLK-ORGANIC-2 - Organic, Inc
AS6298  ASN-CXA-PH-6298-CBS - Cox Communications Inc.
AS6299  TELALINK - Telalink Corporation
AS6300  CCI-TEXAS - Consolidated Communications, Inc.
AS6301  HP-CLOUD-SERVICES - Hewlett-Packard Company
AS6302  TELSCAPE-COMMUNICATIONS - Telscape Communications, Inc.
AS6303  BARCLAYS-CAPITAL - Barclays Capital
AS6304  CSTBRANDS - CST Brands Inc.
AS6305  AENT-AS - Alliance Entertainment
AS6306  TELEFONICA VENEZOLANA, C.A.
AS6307  AMERICAN-EXPRESS - American Express Company
AS6308  ALASCOM-MIS - AT&T ALASCOM
AS6309  DICEH-6309 - Dice Holdings, Inc.
AS6310  MAXPERTS-AS - Maxperts, Inc.
AS6311  OXNET-6311 - Oxford Networks
AS6312  GARNET-AS - WestWorld Media, LLC
AS6313  PROMETHEUS - Prometheus Information Corp.
AS6314  CDC-AS - Chattanooga Data Connection, Inc.
AS6315  XMISSION - XMission, L.C.
AS6316  AS-PAETEC-NET - PaeTec Communications, Inc.
AS6317  MILLENNIANET - MillenniaNet, LLC
AS6318  CHECKFREE - CheckFree Corporation
AS6319  MARRIOT-ASN - Marriot Corporation
AS6320  FUSEDNETWORKS-AS MDNX Enterprise Services Ltd
AS6321  ADVTEL - EATEL
AS6322  PEAKBROADBAND-COS - Peak Broadband
AS6323  ENEWS - The Electronic Newstand
AS6324  MFS-EAST-AS - MFS Global Network Services, Inc.
AS6325  ILLINOIS-CENTURY - Illinois Century Network
AS6326  LEBANET1 - LebaNet, Inc.
AS6327  SHAW - Shaw Communications Inc.
AS6328  SYNAPSETOASN1 - Synapse, L.L.C.
AS6329  FIHN - Fist In Hand Networks
AS6330  WORLDWIDE-AS - Worldwide Communications
AS6331  AIT-NET - Atlantic Internet Technologies, Inc.
AS6332  Telefonos del Noroeste, S.A. de C.V.
AS6333  INFOCOM - infocom, inc.
AS6334  ASN-TSG - The Sabre Group
AS6335  NTRNET - NTR.NET Corporation
AS6336  TURN-US-ASN - Turn Inc.
AS6337  HIWAAY - HIWAAY INFORMATION SERVICES, INC.
AS6338  MIX-COMMUNICATIONS - MIX Communications
AS6339  I95-NET - Voicelink Communications, Inc.
AS6340  EMPIRE - EMPIRE.NET, Inc.
AS6341  WIEC - Wisconsin Electric Power Company
AS6342  Instituto Tecnológico y de Estudios Superiores de Monterrey
AS6343  PICS - Professional Implementation Consulting Services, Inc.
AS6344  VALUENET - Value Net Internetworking Services, Inc.
AS6345  ZIPNET-AS - ZipCall Internet Services
AS6346  VUI - Valhalla Unlimited, Inc
AS6347  DIAMOND - Savvis
AS6348  BETTYPLATFORMS - Prodigy Services
AS6349  LAMBEAU-TELECOM-1 - Lambeau Telecom Company LLC
AS6350  VRIS-6350 - Verizon Online LLC
AS6351  MWEB-6351
AS6352  ETRADE-AS - E*Trade Group
AS6353  NETZONE - Netzone, L.L.C.
AS6354  LYCOS - Lycos, Inc.
AS6355  FRANK-RUSSELL-COMPANY - Russell Investments
AS6356  NERDCNET - Northeast Regional Data Center
AS6357  DBTECH - DB Technology
AS6358  MERC-AS - Mercury Mail
AS6359  DATASOL - DataSol, Inc.
AS6360  UNIVHAWAII - University of Hawaii
AS6361  NTEGRATED-SOLUTIONS - Ntegrated Solutions
AS6362  MIDLANDCOLLEGE-ASN - Midland College
AS6363  ENTERASYS-NETWORKS - Enterasys Networks
AS6364  ATLANTIC-NET - Atlantic.net, Inc.
AS6365  I1 - Internet 1st, Inc.
AS6366  PDXNET - Portland State University
AS6367  EMBARQ-KLLN - Embarq Corporation
AS6368  NETNITCO-ASN - Northwestern Indiana Telephone Co.
AS6369  NETRUNNER - Netrunner Inc
AS6370  LUCENT-ASN - Lucent Technologies
AS6371  AMERICATEL - Americatel Corporation
AS6372  DCANET - DCANet
AS6373  OPUS1 - Opus One
AS6374  MFS-WEST-AS - MFS Global Network Services, Inc.
AS6375  XROADS - Crossroads Communications
AS6376  BRODER207 - Broderbund Software
AS6377  4JNET - Eugene School District 4J
AS6378  NWNT - Northwest Networks
AS6379  ALINK - A-Link Network Services, Inc.
AS6380  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6381  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6382  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6383  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6384  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6385  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6386  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6387  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6388  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6389  BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS6390  KANSASCITY - The Kansas City Star
AS6391  URBAN-15-AS - Urban Networks Inc.
AS6392  MWCI-NET - MidWest Communications, Inc.
AS6393  PRYSM-AS - Prysm Technologies
AS6394  DATA-BROADCASTING - Data Broadcasting Corp.
AS6395  LVLT-6395 - Level 3 Communications, Inc.
AS6396  COASTALNET-ASN - Global Information Exchange Corp
AS6397  LIBBY - Lincoln County Tech Group
AS6398  TELEDESIC - Teledesic Corporation
AS6399  NEREP-ASN - You Tools Corporation
AS6400  Compañía Dominicana de Teléfonos, C. por A. - CODETEL
AS6401  ALLST-6401 - Allstream Corp.
AS6402  NFRAME - nFrame
AS6403  OPN - Oregon Public Networking
AS6404  FACTSET - FactSet Research Systems, Inc.
AS6405  AIN - American Information Network
AS6406  CEBAF - Continuous Electron Beam Accelerator Facility
AS6407  PRIMUS-AS6407 - Primus Telecommunications Canada Inc.
AS6408  PRADO - Prado Internet Access INc.
AS6409  RESEARCHMAG - Research Holdings, LTD.
AS6410  ASICOM - ASI COMMUNICATIONS
AS6411  INSWEB - Strategic Concepts Corporation
AS6412  KW KEMS
AS6413  SOCOMM - Southern Online Systems, Inc.
AS6414  IPNET - Thurber Technology Group
AS6415  SILICONREEF - Silicon Reef, Inc.
AS6416  NOVELL-AS - Novell, Inc.
AS6417  AGENTS-INC - Agents, Inc.
AS6418  SATELNET-AS - SatelNet Communications, Inc.
AS6419  IDD - IDD Enterprises, LP
AS6420  INTERPLAY - Interplay Productions
AS6421  TATACOMM-AS TATA Communications formerly VSNL is Leading ISP
AS6422  JUNCTION - Okanagan Internet Junction, Inc.
AS6423  EASYSTREET-ONLINE - EasyStreet Online Services, Inc.
AS6424  NETROVER - netROVER Inc.
AS6425  TEN - T E Network, Inc.
AS6426  NETCOAST - NETCOAST Communications, Inc.
AS6427  HURRICANE-ELEC - Hurricane Electric, Inc.
AS6428  CDM - CDM
AS6429  Telmex Chile Internet S.A.
AS6430  DIGITALINK - Digital Ink
AS6431  ATT-RESEARCH - ATT LABS
AS6432  DOUBLELCICK-AS Dummy object for doubleclick
AS6433  JLC - John Leslie Consulting
AS6434  PIERPONTSECURITIES - Pierpont Securities LLC
AS6435  TRI-NET-SOLUTIONS - Tri-Net Solutions LLC.
AS6436  INTERACCESS-NET - Interaccess Corp.
AS6437  NETREX - Netrex, Inc.
AS6438  OMINUX-NETWORK - Outwest Network Services Inc.
AS6439  WEBMATE - Webmate Technologies, Inc.
AS6440  EMF-AS - emf.net
AS6441  BIGBOOK - BigBook
AS6442  GLOBALLINK-ASN - Global Link Information Network
AS6443  EMANON - Emanon Service Corporation
AS6444  SBSIB - Siemens Business Systems Intranet Backbone
AS6445  SIEMENS-US - Siemens Corporation
AS6446  SIEMENS-IPO - Siemens International Procurement Office
AS6447  UOREGON-IX - University of Oregon
AS6448  QAD - QAD, Inc.
AS6449  SPRINT-ISP - Sprint Multimedia Internet Division
AS6450  PIXNET-AS - Providers Internet Exchange
AS6451  ACCESSCOMNET - AccessCom
AS6452  WESTWORLD - Westworld Communications
AS6453  GLOBEINTERNET TATA Communications
AS6454  PIONET-NET - Pioneer Internet
AS6455  TOMCO - Tomco Systems, Inc.
AS6456  ALTOPIA-6456 Altopia AS 6456
AS6457  KDCOL-ASN - KDC-Online
AS6458  Telgua
AS6459  TRANSBEAM - I-2000, Inc.
AS6460  INTERNEXT - InterNext
AS6461  MFNX MFN - Metromedia Fiber Network
AS6462  NATGEOGRAPH-AS - National Geographic Society
AS6463  ALLST-6463 - Allstream Corp.
AS6464  FUTURELABS - FutureLabs, Inc.
AS6465  PACWEST - Pac-West Telecomm, INC.
AS6466  ARPA-6466 - Multiverse, Inc.
AS6467  ESPIRECOMM - Xspedius Communications Co.
AS6468  EASYLINK EasyLink
AS6469  ARTEMIS - Artemis Research
AS6470  WEB2000-ASN - Web2000, Inc.
AS6471  ENTEL CHILE S.A.
AS6472  NETASSET - Net Asset
AS6473  WCIXN4 - WCIX.Net, Inc.
AS6474  FLASHNET-AS - SBC IP Communications, Inc.
AS6475  KESMAI - Kesmai Corporation
AS6476  MIWORLD - Micro-Integration Corporation
AS6477  DIRECTMEDIA-AS - Direct Media, Inc.
AS6478  ATT-INTERNET3 - AT&T Services, Inc.
AS6479  MCHENRY - McHenryCom Company
AS6480  LITLE - LitleNet, LLC
AS6481  SWRI - Southwest Research Institute
AS6482  SUPER-AS1 - SuperMedia LLC
AS6483  DIGEX-AS3 - Digital Express Group, Inc.
AS6484  EASYLINK Easylink
AS6485  TDSC1-ASN - Track Data Corp
AS6486  NEWREACH - NewReach Communications
AS6487  CyberNet de Guatemala S.A.
AS6488  FASTQ-0 - Arizona Macintosh Users Group
AS6489  INOW-AS - Network Solutions, Inc. (INOW-DOM)
AS6490  DESERTEYE - DesertEye Publishing
AS6491  TELEKACHINA - TeleKachina
AS6492  PCCD - Palomar Community College District
AS6493  BEACON-TECHNOLOGIES-AS - Beacon Technologies, Inc
AS6494  COGENT-6494 - Cogent Communications
AS6495  HSBC Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero HSBC
AS6496  COGENT-6496 - Cogent Communications
AS6497  ACQUION - ACQUION, Inc.
AS6498  WEST-NGN - West Corporation
AS6500  NIELSEN - Nielsen Interactive Network
AS6501  SOUTHERNET - The Southern Company
AS6502  INTEGRA-ELIX - Integra Telecom, Inc.
AS6503  Axtel, S.A.B. de C.V.
AS6504  NOVAGATE - Novagate Communications Corporation
AS6505  EQUANT DO BRASIL
AS6506  HOYT - David H. Hoyt & COS., Inc.
AS6507  RIOT-NA1 - Riot Games, Inc
AS6508  WARENETASN - Technicolor, Inc.
AS6509  CANARIE-NTN - Canarie Inc
AS6510  BYU - Brigham Young University
AS6511  STRATANET - StrataCom, Inc.
AS6512  GLOBAL2000 - Global 2000 Communications, Inc.
AS6513  PROXIMUS - Proximus
AS6514  SRMC - Scientific Research Management Corporation
AS6515  INTERSTICE - Interstice Inc.
AS6516  TRUENET - TrueNet Corporation
AS6517  RELIANCEGLOBALCOM - Reliance Globalcom Services, Inc
